Country (Country Code)
Algeria (213)
Benin (229)
Burkina Faso(226)
Burundi (257)
Cameroon (237)
Cape Verde Island (238)
Central Africa Rep.(236)
Chad (235)
Congo (242)
Congo (243)
Cote d'Ivoire (225)
Djbouti (253)
Equatorial Guinea (240)
Gabonese Rep (241)
Ghana (233)
Guinea (224)
Guinea Bissau (245)
Lesotho (266)
Liberia (231)
Libya (218)
Malawi (265)
Mali Republic (223)
Mauritania (222)
Morocco (212)
Niger (227)
Rwandese Republic (250)
Senegal (221)
Sierra Leone (232)
Somalia (252)
South Sudan (211)
Tanzania (255)
Uganda (256)
Zambia (260)
Zimbabwe (263)
