Country (Country Code)
Bahrain (973)
Bangladesh (880)
Brunei Darussalam (673)
Cambodia (855)
China (86)
Hong Kong (852)
India (91)
Indonesia (62)
Iraq (964)
Israel (972)
Japan (81)
Jordan (962)
Kazakhstan (7)
Kuwait (965)
Kyrgyz Republic (996)
Laos (856)
Lebanon (961)
Macao (853)
Malaysia (60)
Mongolia (976)
Nepal (977)
Pakistan (92)
Palestinian Settlements (970)
Philippines (63)
Qatar (974)
Saudi Arabia (966)
Singapore (65)
South Korea (82)
Sri Lanka (94)
Taiwan (886)
Tajikistan (992)
Thailand (66)
Turkey (90)
United Arab Emirates (971)
Uzbekistan (998)
Vietnam (84)
Yemen (967)
