Country (Country Code)
Albania (355)
Andorra (376)
Armenia (374)
Austria (43)
Azerbaijan (994)
Belarus (375)
Bosnia & Herzegovina (387)
British Vergin Islands (1284)
Bulgaria (359)
Cayman Island (1345)
Croatia (385)
Estonia (372)
Finland (358)
French Polynesia (689)
Georgia (995)
Gibraltar (350)
Greenland (299)
Italy/Vatican (39)
Kosovo (383)
Latvia (371)
Leichtenstein (423)
Lithuania (370)
Luxembourg (352)
Macedonia (389)
Moldova (373)
Monaco (377)
Montenegro (382)
Montserrat (1664)
Netherlands (31)
New Caledonia (687)
San Marino (378)
Serbia (381)
Slovenia (386)
Spain (34)
St.Pierre & Miquelon (508)
Switzerland (41)
Turks and Caicos Islands (1649)
Ukraine (380)
