Country (Country Code)
American Samoa (1684)
Anguilla (1264)
ANTIGUA (1268)
Antigua/ Barbuda (1268)
Bahamas (1242)
Barbados (1246)
Belize (501)
Bhutan (975)
Canada (1)
Costa Rica (506)
Dominica (1767)
Dominican Republic (1809)
El Salvador (503)
Grenada (1473)
Guam (1671)
Guatemala (502)
Haiti (509)
Honduras (504)
Jamaica (1876)
Mexico (52)
Nicaragua (505)
Panama (507)
Puerto Rico (1787)
St. Kitts /Nevis (1869)
St. Lucia (1758)
St. Vincent & Grenadines (1784)
Trinidad & Tobago (1868)
United States (1)
Us Virgin Islands (1340)
